"id","dt","2020100409","2020100412","2020100415","2020100418","2020100421","2020100424","2020100503","2020100506","2020100509","2020100512","2020100515","2020100518","2020100521","2020100524","2020100603","2020100606","2020100609","2020100612","2020100615","2020100618","2020100621","2020100624"
"17501","2020/10/04 08:25","130","140","150","120","110","100","100","90","170","170","140","80","80","80","70","110","140","140","130","100","80","60"
"17521","2020/10/04 08:25","150","150","150","140","130","120","120","130","170","190","160","110","100","80","70","90","140","160","150","120","90","70"
"17546","2020/10/04 08:25","200","160","150","140","140","130","140","140","180","220","190","120","100","90","80","100","140","160","150","90","80","70"
"17561","2020/10/04 08:25","190","180","160","140","140","130","150","150","190","220","200","120","90","60","80","100","150","150","140","100","80","70"
"17596","2020/10/04 08:25","130","120","130","120","110","110","100","100","170","170","130","90","90","80","70","90","140","140","130","90","70","70"
"17607","2020/10/04 08:25","160","140","150","130","120","110","120","110","170","180","150","100","100","90","80","90","130","150","150","100","80","70"
"17631","2020/10/04 08:25","180","160","150","140","120","130","130","130","180","190","170","110","100","90","80","90","140","160","150","100","70","60"
"17717","2020/10/04 08:25","170","160","150","130","120","130","130","130","170","200","170","110","100","80","70","90","130","150","150","100","70","60"
"18038","2020/10/04 08:25","180","160","150","130","130","110","120","130","160","200","200","110","90","70","80","80","130","150","140","100","90","90"
"18136","2020/10/04 08:25","190","180","160","150","140","130","140","150","170","210","200","130","90","90","80","80","140","170","150","100","90","80"
"18161","2020/10/04 08:25","200","160","140","140","140","130","130","130","170","200","190","120","90","80","70","60","130","160","150","100","80","60"
"18171","2020/10/04 08:25","190","160","150","140","140","140","140","150","170","190","190","120","90","80","70","60","140","160","150","100","70","60"
"18256","2020/10/04 08:25","200","170","160","140","130","120","140","150","170","190","200","120","90","80","70","60","140","150","140","90","60","60"
"18273","2020/10/04 08:25","170","160","150","150","140","130","130","150","160","180","180","130","110","100","100","110","150","140","130","110","100","100"
"18281","2020/10/04 08:25","170","160","150","140","130","130","140","150","160","190","180","130","110","100","100","110","150","150","140","100","100","100"
"18311","2020/10/04 08:25","190","170","160","150","140","120","140","150","170","180","180","120","100","90","90","80","140","150","130","90","70","70"
"19021","2020/10/04 08:25","180","170","150","130","130","120","140","150","170","200","170","90","80","60","70","80","130","140","130","80","50","40"
"19051","2020/10/04 08:25","160","160","140","140","140","130","150","140","170","180","180","110","90","80","70","70","130","150","140","100","80","70"
"19076","2020/10/04 08:25","160","170","140","120","110","100","130","130","160","190","160","90","80","80","80","80","120","130","120","90","60","40"
"19151","2020/10/04 08:25","180","180","150","140","130","140","150","130","160","190","190","110","80","80","70","50","130","140","140","110","90","70"
"19191","2020/10/04 08:25","170","170","150","140","140","130","160","140","170","190","190","120","100","90","80","70","130","160","150","120","100","80"
"19261","2020/10/04 08:25","190","180","150","140","130","130","150","140","170","200","190","100","90","90","70","70","130","160","150","110","100","80"
"19311","2020/10/04 08:25","200","170","160","150","140","120","140","160","170","180","190","120","100","100","100","70","130","150","140","90","80","80"
"19376","2020/10/04 08:25","190","150","150","140","140","130","130","140","160","180","180","110","100","100","90","80","140","150","140","90","90","90"
"19416","2020/10/04 08:25","210","160","140","120","130","120","150","140","160","200","190","100","90","100","80","60","140","150","150","110","110","100"
